2025-11-15 09:06:08.945 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.jsonserialize], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.958 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.particlesystem], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.958 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.physics], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.959 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.physics2d], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.959 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.screencapture], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.959 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.terrain], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.960 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.terrainphysics], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.960 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.tilemap], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.960 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.ui], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.961 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.uielements], Result: [granted: True, group: (null)]
2025-11-15 09:06:08.961 User Agent: [UnityEditor/6000.2.10f1 (Windows; U; Windows NT 10.0; en)], Protocol version: [1.17.2], Session Id: [84efdaf9bb2a45aab6bcefb6ef0fc159], Licensed Package: False, Entitlement requested: [com.unity.modules.umbra], Result: [granted: True, group: (null)]
